video_id,title,url,channel,published,duration,views,category,difficulty,quality_score,core_idea,actionable_insight,target_audience,creator_info,mentioned_companies,company_details,financial_data,technologies,auto_tags,semantic_topics,language,processed_at,project_category
rQY-yB-Gob4,Claude + Swift + Rork = insane mobile apps,https://www.youtube.com/watch?v=rQY-yB-Gob4,David Ondrej,,00:11:11,6425,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
uBWuKh1nZ2Y,The only AutoResearch tutorial you’ll ever need,https://www.youtube.com/watch?v=uBWuKh1nZ2Y,David Ondrej,,00:19:52,158390,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
HdohxOTO6lo,Google just destroyed all open-source models (Gemma 4),https://www.youtube.com/watch?v=HdohxOTO6lo,David Ondrej,,00:23:38,84829,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
JLIFx9r5EDg,RIP OpenClaw… this 100% private AI Agent is insane,https://www.youtube.com/watch?v=JLIFx9r5EDg,David Ondrej,,00:22:28,40577,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
EHlqRx0r4BI,This 100% self-improving AI Agent is insane… just watch,https://www.youtube.com/watch?v=EHlqRx0r4BI,David Ondrej,,00:25:28,55689,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
hoCWD1aI60Y,CODEX FULL COURSE: From Zero to Deployed App (2026),https://www.youtube.com/watch?v=hoCWD1aI60Y,David Ondrej,,01:24:14,13826,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
ZruZhMdFdl8,Claude Mythos might actually be AGI… wtf,https://www.youtube.com/watch?v=ZruZhMdFdl8,David Ondrej,,00:35:23,37205,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
JVM40liIElk,Git Worktrees Clearly Explained (and how to use them),https://www.youtube.com/watch?v=JVM40liIElk,David Ondrej,,00:22:35,13563,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
rx4w6zhrhPY,How To Run a Zero-Human Company (Paperclip),https://www.youtube.com/watch?v=rx4w6zhrhPY,David Ondrej,,00:44:38,37793,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
9KYfx_GzY1o,This 100% minimal AI Agent can do anything… just watch,https://www.youtube.com/watch?v=9KYfx_GzY1o,David Ondrej,,00:31:31,43959,,,0,,,,,,,,,,,auto,2026-04-15 14:21,General
