video_id,title,url,channel,published,duration,views,category,difficulty,quality_score,core_idea,actionable_insight,target_audience,creator_info,mentioned_companies,company_details,financial_data,technologies,auto_tags,semantic_topics,language,processed_at,project_category
zkXonmqIBFg,101 Ways To Use AI In Your Daily Life,https://www.youtube.com/watch?v=zkXonmqIBFg,Tina Huang,,00:14:26,562902,Technology,Beginner,8,"AI can be integrated into daily life across multiple domains using accessible foundational models and tools, with emphasis on prompt engineering skills rather than tool proliferation. The video spans from simple use cases to advanced agent-building for different user skill levels.","Prompt engineering proficiency unlocks value from general-purpose AI tools, making specialized expensive subscriptions unnecessary for most users.","Productivity-focused individuals, entrepreneurs, students, and people seeking to integrate AI into daily workflows across personal and professional domains.","Tina Huang (YouTube content creator focused on AI, productivity, and technology)","OpenAI, Google, Anthropic, HubSpot, Perplexity, NotebookLM, Madness, Lovable, Replit, Firebase, Cursor, Windsurf",HubSpot sponsored portion of video,,"ChatGPT, Gemini, Claude, Perplexity, NotebookLM, Madness AI Agent, Nano, OpenAI Agents SDK, Lovable, Vault, Replit, Firebase Studio, Cursor, Windsurf, Claude Code, Google AI Studio","AI applications, productivity, prompt engineering, chatbots, AI agents, no-code tools, daily life, workflow optimization","Artificial Intelligence applications, Productivity optimization, Prompt engineering techniques, AI tool comparison, Daily life automation, No-code development, AI-assisted troubleshooting, Knowledge management with AI",auto,2026-04-13 18:58,General
JHF2t-S2nm0,Skills I'm Learning In 2026,https://www.youtube.com/watch?v=JHF2t-S2nm0,Tina Huang,,00:10:31,119669,Finance,Beginner,8,"In 2026, financial literacy, emergency preparedness, and investment diversification are essential skills for navigating economic uncertainty and AI-driven market changes. Building multiple income streams and understanding personal finance fundamentals provides both protection and opportunity.","Conventional investing wisdom (S&P 500 diversification) is becoming outdated as concentrated sectors dominate the index, requiring investors to proactively diversify beyond traditional recommendations.","Professionals, entrepreneurs, and individuals seeking to build financial resilience amid economic uncertainty and technological disruption",Tina Huang is a YouTuber and entrepreneur who previously worked as a data scientist at Meta. She focuses on learning and personal development content.,"HubSpot, Meta, JP Morgan, Khan Academy, Udemy",HubSpot sponsored a portion of this video,AI stocks represent 44% of S&P 500 market capitalization; emergency fund recommendation is 3-6 months of living expenses,"Artificial Intelligence, Investment platforms, Financial management tools","personal finance, investing, financial literacy, emergency fund, income diversification, portfolio management, economic uncertainty, AI stocks, wealth building, risk management","Financial Planning, Investment Strategy, Economic Resilience, Wealth Management, Income Generation, Market Analysis, Risk Mitigation",auto,2026-04-13 18:58,General
I5y6hYfVY5o,I Built an AI App to Make Manga (From Zero Art Skills),https://www.youtube.com/watch?v=I5y6hYfVY5o,Tina Huang,,00:16:20,20907,AI,Intermediate,8,"No-code AI tools enable non-technical creators to build sophisticated applications rapidly by combining AI APIs with visual development platforms, democratizing software creation.","Iterative prompting and system prompt adjustments are crucial for AI image generation quality - even when initial results are poor, refining instructions rather than abandoning the approach yields better outcomes.","Developers, creators, entrepreneurs interested in no-code AI development and rapid prototyping","Tina Huang - content creator focusing on technology, AI, and no-code development","NanoBanana, Bolt, Anthropic",NanoBanana: AI image generation service specializing in character consistency. Bolt: no-code web app builder by Anthropic. Anthropic: Claude AI provider.,,"AI image generation, No-code development, API integration, Web app development, Claude/Sonnet model","no-code, AI, manga-generation, rapid-prototyping, character-consistency, image-generation, Bolt, SaaS-building","Democratization of AI tools, No-code development platforms, Creative AI applications, Rapid product development, Character consistency in AI generation",auto,2026-04-13 18:58,General
jm2jBW462bU,Essential AI Skills For 2026,https://www.youtube.com/watch?v=jm2jBW462bU,Tina Huang,,00:18:43,226380,Education,Beginner,8.0,"Prompting is the essential foundational AI skill for 2026, and mastering one generalized chatbot with two key frameworks provides 98% better performance than the average person. Most people need only one versatile AI tool rather than multiple specialized ones.",The Samurai sword analogy reveals that technique (prompting) matters more than tool sophistication - beginners should focus on mastering communication with AI before exploring advanced features or multiple platforms.,"Professionals, students, and modern workers who want to stay relevant with AI skills in 2026",Tina Huang - AI/technology educator and YouTube content creator,"Perplexity, OpenAI, Google, Anthropic, Meta","Video sponsored by Perplexity. References ChatGPT, Gemini, Claude, DeepSeek, Grok as example chatbots.",,"Generative AI, Large Language Models, AI Chatbots, Prompting, Prompt Engineering","AI skills, prompting, 2026 trends, ChatGPT, skill development, AI tools, beginner guide, learning, generative AI","AI skill development, Prompting techniques, AI tool selection, Generative AI adoption, Professional development with AI",auto,2026-04-13 18:59,General
DV0Ln7HRyJQ,Zero To Your First AI Agent In 26 Minutes (no code),https://www.youtube.com/watch?v=DV0Ln7HRyJQ,Tina Huang,,00:26:42,314247,Technology,Beginner,8,"AI agents are software systems that pursue goals using AI, composed of six interconnected components. Understanding how to properly assemble these components through clear prompting and no-code tools enables anyone to build functional AI agents quickly.",The orchestration of prompts and component assembly is as important as individual component quality—a well-designed prompt ensures the AI agent actually knows how to use its available tools effectively.,"Beginners interested in AI automation, people wanting to build AI agents without coding skills, learning-focused professionals, and those exploring AI workflow tools.",Tina Huang - AI education content creator specializing in practical AI implementation,"N8N, Lovable",N8N: AI workflow automation platform; Lovable: sponsored by (specific role not detailed in transcript),,"N8N, ChatGPT, Claude, Gemini, AI models","AI agents, no-code, workflow automation, AI assistant, tutorial, N8N, practical implementation, learning assistant","AI agent architecture, no-code AI development, workflow automation, prompt engineering, AI components, research automation",auto,2026-04-13 18:59,General
TUalmf9bByA,How I Learn Things Really Fast (with AI),https://www.youtube.com/watch?v=TUalmf9bByA,Tina Huang,,00:24:15,132575,Education,Intermediate,8,Effective learning requires a structured five-step framework combined with strategic use of AI tools. The foundation of clear goals and comprehensive research is essential before AI can meaningfully accelerate the learning process.,"Most learners neglect the research phase, but finding and curating the right resources is critical because without proper sources, even AI tools cannot effectively bridge knowledge gaps.","Students, professionals, self-learners, knowledge workers seeking to accelerate skill acquisition",Tina Huang,Warp,Warp sponsored a portion of this video,,"AI, AI learning tools","learning framework, AI learning, accelerated learning, goal-setting, skill acquisition, resource curation","learning methodology, artificial intelligence applications, personal development, knowledge management, educational frameworks",auto,2026-04-13 18:59,General
dvFDxwlT2e8,AI For Data Analysis In 21 Minutes,https://www.youtube.com/watch?v=dvFDxwlT2e8,Tina Huang,,00:21:48,127192,Education,Beginner,8,"AI excels at data analysis when used strategically for coordination, automation, validation, and scaling—not as a replacement but as a force multiplier for human capability.","AI hallucinations are mitigated when used as a secondary validation layer, similar to how humans catch other humans' mistakes, making it practical for real-world business processes.","Professionals seeking to improve data analysis efficiency, business analysts, non-technical team members wanting to leverage AI tools.","Tina Huang, former data scientist at Meta, instructor specializing in AI and data analysis education","Meta, Vanderbilt University",Meta: Tina's previous employer where she worked as a data scientist,,"ChatGPT, Gemini, Claude, CSV, AI data analysis tools","data-analysis, AI-tools, ChatGPT, productivity, business-intelligence, data-science, automation","AI applications in business, data analysis methodology, workflow automation, team collaboration, data cleaning and visualization",auto,2026-04-13 18:59,General
qbt-MFVvQQY,NotebookLM In 30 Minutes,https://www.youtube.com/watch?v=qbt-MFVvQQY,Tina Huang,,00:30:51,566791,AI,Beginner,9,"NotebookLM is a free AI-powered tool for synthesizing and understanding information from diverse sources, with specialized features like AI podcasts and mind maps that become more powerful when integrated with other Google products.",The real power of NotebookLM lies not just in its individual features but in its ability to combine with other free Google tools to create complete no-code AI workflows for product development and research.,"Entrepreneurs, researchers, students, and product builders interested in AI tools and learning efficiently",Tina Huang,"Google, NotebookLM, Y Combinator, OECD, Augen Code",NotebookLM is a Google product offering free core features with optional paid pro features for sharing and analytics,NotebookLM is 90% free with paid pro features for advanced sharing and analytics,"NotebookLM, Google AI Studio, Firebase Studio, Google Gemini, Deep Research","AI, productivity, note-taking, synthesis, no-code, learning, research","artificial intelligence tools, information synthesis, no-code automation, startup validation, educational technology",auto,2026-04-13 18:59,General
ftBWgcwvEk4,8 Hour AI Agents Course in 30 Minutes (Deep Learning AI),https://www.youtube.com/watch?v=ftBWgcwvEk4,Tina Huang,,00:30:23,95334,Education,Intermediate,8,"Agentic AI systems operate on a spectrum from linear, predefined workflows to highly autonomous systems that decide their own execution paths. Rather than debating what constitutes an agent, focus on choosing appropriate autonomy levels for your specific use case.","Module 4 on practical tips and evaluations is uniquely comprehensive and rarely covered elsewhere in agentic AI education, suggesting this is a critical gap in most AI courses.","AI practitioners, developers, machine learning engineers, business professionals exploring AI automation",Tina Huang - Content creator summarizing Andrew Ng's agentic AI course,HubSpot,HubSpot Media sponsored a portion of the video,,"LLM, Web Search, News Search, Archive Search","agentic-ai, ai-agents, llm-workflows, autonomous-systems, ai-course-summary","Agentic AI Systems, LLM Automation, Multi-step Task Execution, Agent Autonomy Spectrum, AI Workflow Design",auto,2026-04-13 18:59,General
vMyk77NNJeU,101 AI Apps You Can Vibe Code,https://www.youtube.com/watch?v=vMyk77NNJeU,Tina Huang,,00:28:40,46552,Technology,Beginner,8,"A practical framework and 101 no-code AI app ideas demonstrating how to build applications using AI-assisted tools rather than traditional programming, proving coding skills are optional but optional for rapid prototyping.","Forcing yourself to thoroughly answer foundational questions (purpose, audience, features) before building prevents wasted AI effort, as the AI can only execute what you clearly define in your requirements.","Entrepreneurs, product managers, non-technical founders, and aspiring developers interested in rapid AI application development without coding expertise.","{'name': 'Tina Huang', 'type': 'YouTuber/AI educator', 'focus': 'No-code AI application building'}",Bolt,Bolt sponsored a portion of this video.,,"AI-assisted coding tools, Meta prompts, Large language models, No-code platforms, Deployment tools","no-code, AI apps, framework, application development, prompt engineering, automation, chatbots, rapid prototyping","AI application development, No-code/low-code tools, Product requirements and ideation, Software deployment, Debugging strategies, Business automation",auto,2026-04-13 19:00,General
